date,"hour","text","source","username","hashtags"	
2019-06-23,"19:45:00","Paulo P.A. Pagni, da banda RPM, é enterrado em Araçariguama https://t.co/TwMY9DoUYd #G1","TweetDeck","G1","G1"	
2019-06-23,"19:31:00","'Confissões não são suficientes para condenar', diz Flordelis sobre participação de filhos na morte do marido https://t.co/UxUXdVD3Yt #G1","TweetDeck","G1","G1"	
2019-06-23,"19:17:00","Novos diálogos atribuídos a Moro e procuradores sugerem articulação para apoiar Moro em tensões com STF, diz jornal… https://t.co/UoCZ6ZzNHs","TweetDeck","G1",""	
2019-06-23,"19:00:00","Mel C agita a Parada LGBT com clássicos das Spice Girls: 'SP é um lugar que sempre foi muito generoso comigo' https://t.co/P8ialbiXTw #G1","TweetDeck","G1","G1"	
2019-06-23,"18:47:00","Casamento coletivo oficializa união de quatro casais na Parada LGBT de SP https://t.co/k7GBM6QQeq #G1 https://t.co/86dVfwHVa5","TweetDeck","G1","G1"	
2019-06-23,"18:34:18","Filho de Huck e Angélica passa por neurocirurgia após sofrer traumatismo	 estado de saúde é estável, diz hospital… https://t.co/Qw71TZGarr","TweetDeck","G1",""
2019-06-23,"18:17:00","'Maior paçoca do mundo' bate novo recorde no tradicional arraial de Boa Vista https://t.co/uwWdtNMSlV #G1 https://t.co/2lPM15uBBC","TweetDeck","G1","G1"	
2019-06-23,"17:47:00","Chinês é eleito novo diretor-geral da FAO e vai substituir brasileiro https://t.co/y4MiH4wtwN #G1 https://t.co/xXgfQ75TQY","TweetDeck","G1","G1"	
2019-06-23,"17:17:00","Alice, o primeiro avião comercial totalmente elétrico https://t.co/NEDkgWJpcw #G1 https://t.co/uEdcnZB6eg","TweetDeck","G1","G1"	
2019-06-23,"16:47:00","Chefe do exército da Etiópia e três outros são assassinados em tentativa de golpe https://t.co/CxXSvC5RVr #G1 https://t.co/395G3xr5QO","TweetDeck","G1","G1"	
2019-06-23,"16:17:00","Mãe aguarda há 3 anos por julgamento de PM que matou filho dela em abordagem https://t.co/ztdeKYOalo #G1 https://t.co/DiecPlTUZw","TweetDeck","G1","G1"	
2019-06-23,"15:47:00","Cão doa sangue para salvar vida de cadela que sofreu aborto em SP https://t.co/gT6NvGRmw3 #G1 https://t.co/7xrpwqXKnb","TweetDeck","G1","G1"	
2019-06-23,"15:17:00","3 em cada 4 partidos têm mais da metade da estrutura formada por comissões provisórias ==&gt	 https://t.co/guiS1snGqY #G1","TweetDeck","G1","G1"
2019-06-23,"14:49:47","Com 19 trios e ex-Spice Girl, parada espera atrair 3 milhões https://t.co/QEKq9Y442z #G1 https://t.co/1mPWU1A6Sn","TweetDeck","G1","G1"	
2019-06-23,"14:47:00","Corpo do jogador Thalles será enterrado neste domingo em Niterói https://t.co/gvb6EzMQN0 #G1 https://t.co/scpNtGLlAP","TweetDeck","G1","G1"	
2019-06-23,"14:17:00","Brasileiro de 13 anos é primeiro sul-americano no principal concurso de violino do mundo https://t.co/pjON3Ft7lV #G1 https://t.co/4b3SnTRJDa","TweetDeck","G1","G1"	
2019-06-23,"13:47:00","O que se sabe sobre o assassinato do pastor Anderson do Carmo, marido da deputada Flordelis https://t.co/iYZTuGN4P5… https://t.co/ZRpPXL1uHU","TweetDeck","G1",""	
2019-06-23,"13:17:00","Kim recebe carta de Trump e se diz satisfeito com 'excelente' conteúdo https://t.co/hCr0iBsEYg #G1 https://t.co/wanEEHRSPO","TweetDeck","G1","G1"	
2019-06-23,"12:49:00","Filho de Luciano Huck e Angélica é operado após acidente no Rio https://t.co/X4P62eBmYC #G1 https://t.co/rKdgvpiV8p","TweetDeck","G1","G1"	
2019-06-23,"12:47:00","Filhos de Flordelis pagaram R$ 8 mil por arma usada para matar pastor https://t.co/abI11ft9ED #G1 https://t.co/8gxgXy3JSQ","TweetDeck","G1","G1"	
2019-06-23,"12:17:00","Como recuperar o PIN de segurança que é exigido na verificação em duas etapas no WhatsApp? https://t.co/bjfCCjJDZf… https://t.co/EREuN6KJB3","TweetDeck","G1",""	
2019-06-23,"11:47:00","14 órgãos abrem as inscrições nesta segunda para quase 500 vagas https://t.co/FTz3f4anVv #G1 https://t.co/myszLDiVFx","TweetDeck","G1","G1"	
